Account Factors::Profit Center,Promo ID,Pricing::Segment,Pricing::Engine,Promotion::SKU,Promotion::Start Date Promo,Promotion::End Date Promo,Pricing::Street,Promotion::Promo_Value,Promotion::Promo Type,Promotion::Promo_Net Price Point,Exp_Revenue Est,Exp_Billing Profit,Exp_Billing Profit Supply,Exp_Promo,Exp_Sales,Exp_Net Billing Profit,Account,Sell Through Estimate Adj,Sell Through Estimate POS,Sell Through Estimate Inv,Final Quantity,Sell Through Estimate,SOP_Period,SOP_Half,SOP_Quarter,Usage ID,Account Factors::SAP Account,Promotion::LevelType
1080,6894,zzz,123,TP1,12/1/2014,12/31/2014,459.99,7,2,452.99,0,0,0,0,0,0,3,0,,,0,0,209,H2,Q3,23745,3,3
1010,6894,zzz,123,TP1,12/1/2014,12/31/2014,459.99,7,2,452.99,9050.313808,1657.635816,9765.302308,434,4216.764991,6772.173133,2,160,371,62,62,160,209,H2,Q3,23747,2,2
1010,6894,zzz,123,TP1,12/1/2014,12/31/2014,459.99,7,2,452.99,0,0,0,0,0,0,1,0,,,0,0,209,H2,Q3,23749,1,1
1080,6895,zzz,123,TP1,1/1/2015,1/31/2015,459.99,30,1,429.99,0,0,0,0,0,0,3,0,,,0,0,210,H2,Q1,23750,3,3
1010,6895,zzz,123,TP1,1/1/2015,1/31/2015,459.99,30,1,429.99,9050.313808,1657.635816,9765.302308,12690,4216.764991,-5483.826867,2,160,86,423,423,160,210,H2,Q1,23751,2,2
1010,6895,zzz,123,TP1,1/1/2015,1/31/2015,459.99,30,1,429.99,0,0,0,0,0,0,1,0,,,0,0,210,H2,Q1,23752,1,1
1080,6896,zzz,123,TP1,1/1/2015,1/31/2015,459.99,5,2,424.99,0,0,0,0,0,0,3,0,,,0,0,210,H2,Q1,23753,3,3
1080,6897,zzz,123,TP1,2/1/2015,2/28/2015,459.99,30,2,424.99,0,0,0,0,0,0,3,0,,,0,0,211,H2,Q4,23754,3,3
1010,6896,zzz,123,TP1,1/1/2015,1/31/2015,459.99,5,2,424.99,0,0,0,100,0,-100,2,80,20,,20,80,210,H2,Q1,23755,2,2
1010,6897,zzz,123,TP1,2/1/2015,2/28/2015,459.99,30,2,424.99,9050.313808,1657.635816,9765.302308,7740,4216.764991,-533.8268672,2,160,170,258,258,160,211,H2,Q4,23756,2,2
1010,6896,zzz,123,TP1,1/1/2015,1/31/2015,459.99,5,2,424.99,0,0,0,0,0,0,1,0,,,0,0,210,H2,Q1,23757,1,1
1010,6897,zzz,123,TP1,2/1/2015,2/28/2015,459.99,30,2,424.99,0,0,0,0,0,0,1,0,,,0,0,211,H2,Q4,23758,1,1
1080,6898,zzz,123,TP1,3/1/2015,3/31/2015,459.99,30,2,424.99,0,0,0,0,0,0,3,0,,,0,0,212,H2,Q4,23759,3,3
1010,6898,zzz,123,TP1,3/1/2015,3/31/2015,459.99,30,2,424.99,6844.299817,1253.587086,7385.009871,4110,3188.928525,1339.668432,2,121,,137,137,121,212,H2,Q4,23760,2,2
1010,6898,zzz,123,TP1,3/1/2015,3/31/2015,459.99,30,2,424.99,0,0,0,0,0,0,1,0,,,0,0,212,H2,Q4,23761,1,1
1080,7376,zzz,123,TP1,11/1/2014,11/30/2014,459.99,30,2,429.99,0,0,0,0,0,0,3,0,,,0,0,208,H2,Q3,26825,3,3
1010,7376,zzz,123,TP1,11/1/2014,11/30/2014,459.99,30,2,429.99,9050.313808,1657.635816,9765.302308,30,4216.764991,7176.173133,2,160,1,,1,160,208,H2,Q3,26826,2,2
1010,7376,zzz,123,TP1,11/1/2014,11/30/2014,459.99,30,2,429.99,0,0,0,0,0,0,1,0,,,0,0,208,H2,Q3,26827,1,1
1010,6894,zzz,123,TP1,12/1/2014,12/31/2014,459.99,7,2,452.99,0,0,0,0,0,0,1,0,,,0,35,209,H2,Q3,27363,1,1
1010,6895,zzz,123,TP1,1/1/2015,1/31/2015,459.99,30,1,429.99,31110.45371,5698.123117,33568.22668,13980,20293.18152,4993.168281,1,550,,466,466,550,210,H2,Q1,28051,1,1
1010,6896,zzz,123,TP1,1/1/2015,1/31/2015,459.99,5,2,424.99,0,0,0,2330,0,-2330,1,550,,466,466,550,210,H2,Q1,28052,1,1
1010,6895,zzz,123,TP1,1/1/2015,1/31/2015,459.99,30,1,429.99,22625.78452,4144.08954,24413.25577,9930,14758.67747,3868.667841,1,400,,331,331,400,210,H2,Q1,28063,1,1
1010,6894,zzz,123,TP1,12/1/2014,12/31/2014,459.99,7,2,452.99,19797.56145,3626.078347,21361.5988,2464,12913.84279,9609.834361,1,350,,352,352,350,209,H2,Q3,28511,1,1
1010,6897,zzz,123,TP1,2/1/2015,2/28/2015,459.99,30,2,424.99,25454.00758,4662.100732,27464.91274,7770,16603.51215,7753.501321,1,450,,259,259,550,211,H2,Q4,28647,1,1
1010,6898,zzz,123,TP1,3/1/2015,3/31/2015,459.99,30,2,424.99,22625.78452,4144.08954,24413.25577,14640,14758.67747,-841.3321591,1,400,,488,488,400,212,H2,Q4,29653,1,1
1010,6897,zzz,123,TP1,2/1/2015,2/28/2015,459.99,30,2,424.99,0,0,0,0,0,0,2,,,,,,211,H2,Q4,30092,2,2
1010,6897,zzz,123,TP1,2/1/2015,2/28/2015,459.99,30,2,424.99,0,0,0,0,0,0,2,,,,,,211,H2,Q4,30137,2,2
1010,6898,zzz,123,TP1,3/1/2015,3/31/2015,459.99,30,2,424.99,0,0,0,0,0,0,2,,,,,,212,H2,Q4,30181,2,2
1010,6898,zzz,123,TP1,3/1/2015,3/31/2015,459.99,30,2,424.99,0,0,0,0,0,0,2,,,,,,212,H2,Q4,30216,2,2
1010,7532,zzz,123,TP1,2/1/2015,2/28/2015,459.99,5,2,424.99,0,0,0,0,0,0,1,0,,,0,550,211,H2,Q4,30710,1,1
1010,6894,zzz,123,TP1,12/1/2014,12/31/2014,459.99,7,2,452.99,0,0,0,0,0,0,2,,,,,,209,H2,Q3,30757,2,2
1010,7376,zzz,123,TP1,11/1/2014,11/30/2014,459.99,30,2,429.99,5656.44613,1036.022385,6103.313943,2760,3689.669367,689.6669602,1,100,,92,92,100,208,H2,Q3,30793,1,1
1010,7376,zzz,123,TP1,11/1/2014,11/30/2014,459.99,30,2,429.99,5656.44613,1036.022385,6103.313943,4170,3689.669367,-720.3330398,1,100,,139,139,100,208,H2,Q3,30794,1,1
1010,6895,zzz,123,TP1,1/1/2015,1/31/2015,459.99,30,1,429.99,0,0,0,0,0,0,2,,,,,,210,H2,Q1,30890,2,2
1010,6897,zzz,123,TP1,2/1/2015,2/28/2015,459.99,30,2,424.99,0,0,0,0,0,0,2,,,,,,211,H2,Q4,31376,2,2
1010,6897,zzz,123,TP1,2/1/2015,2/28/2015,459.99,30,2,424.99,0,0,0,0,0,0,2,,,,,,211,H2,Q4,31385,2,2
1010,7613,zzz,123,TP1,3/1/2015,3/31/2015,459.99,5,2,424.99,0,0,0,2440,0,-2440,1,400,,488,488,400,212,H2,Q4,31446,1,1
1010,7532,zzz,123,TP1,2/1/2015,2/28/2015,459.99,5,2,424.99,0,0,0,250,0,-250,1,50,,,50,50,211,H2,Q4,31447,1,1
1010,6897,zzz,123,TP1,2/1/2015,2/28/2015,459.99,30,2,424.99,2828.223065,518.0111924,3051.656971,2520,1844.834684,-795.1665199,1,50,,84,84,50,211,H2,Q4,31448,1,1
1010,6898,zzz,123,TP1,3/1/2015,3/31/2015,459.99,30,2,424.99,0,0,0,0,0,0,2,,,,,,212,H2,Q4,31491,2,2
