Promotion::Start Date Promo,Account Factors::Profit Center,Promo ID,Pricing::Segment,Pricing::Engine,Promotion::SKU,Promotion::End Date Promo,Pricing::Street,Promotion::Promo_Value,Promotion::Promo Type,Promotion::Promo_Net Price Point,Exp_Revenue Est,Exp_Billing Profit,Exp_Billing Profit Supply,Exp_Promo,Exp_Sales,Exp_Net Billing Profit,Account,Sell Through Estimate Adj,Sell Through Estimate POS,Sell Through Estimate Inv,Final Quantity,Sell Through Estimate,SOP_Period,SOP_Half,SOP_Quarter,Usage ID,Account Factors::SAP Account,Promotion::LevelType
2014-12-01,1010,6894,zzz,123,TP1,12/31/2014,459.99,7.0,2,452.99,9050.313808,1657.635816,9765.302308,434.0,4216.764991,6772.173133,2,160.0,371.0,62.0,62.0,160.0,209,H2,Q3,23747.0,2,2
2015-01-01,1010,6895,zzz,123,TP1,1/31/2015,459.99,30.0,1,429.99,9050.313808,1657.635816,9765.302308,12690.0,4216.764991,-5483.826867,2,160.0,86.0,423.0,423.0,160.0,210,H2,Q1,23751.0,2,2
2015-01-01,1010,6896,zzz,123,TP1,1/31/2015,459.99,5.0,2,424.99,0.0,0.0,0.0,100.0,0.0,-100.0,2,80.0,20.0,291.0,20.0,80.0,210,H2,Q1,23755.0,2,2
2015-02-01,1010,6897,zzz,123,TP1,2/28/2015,459.99,30.0,2,424.99,9050.313808,1657.635816,9765.302308,7740.0,4216.764991,-533.8268672,2,160.0,170.0,258.0,258.0,160.0,211,H2,Q4,23756.0,2,2
2015-03-01,1010,6898,zzz,123,TP1,3/31/2015,459.99,30.0,2,424.99,6844.299817,1253.587086,7385.009871,4110.0,3188.928525,1339.668432,2,121.0,73.42857142857143,137.0,137.0,121.0,212,H2,Q4,23760.0,2,2
2014-11-01,1010,7376,zzz,123,TP1,11/30/2014,459.99,30.0,2,429.99,9050.313808,1657.635816,9765.302308,30.0,4216.764991,7176.173133,2,160.0,1.0,301.5,1.0,160.0,208,H2,Q3,26826.0,2,2
2015-01-01,1010,6895,zzz,123,TP1,1/31/2015,459.99,30.0,1,429.99,31110.45371,5698.123117,33568.22668,13980.0,20293.18152,4993.168281,1,550.0,2.6153846153846154,466.0,466.0,550.0,210,H2,Q1,28051.0,1,1
2015-01-01,1010,6896,zzz,123,TP1,1/31/2015,459.99,5.0,2,424.99,0.0,0.0,0.0,2330.0,0.0,-2330.0,1,550.0,3.1538461538461537,466.0,466.0,550.0,210,H2,Q1,28052.0,1,1
2015-01-01,1010,6895,zzz,123,TP1,1/31/2015,459.99,30.0,1,429.99,22625.78452,4144.08954,24413.25577,9930.0,14758.67747,3868.667841,1,400.0,3.692307692307692,331.0,331.0,400.0,210,H2,Q1,28063.0,1,1
2014-12-01,1010,6894,zzz,123,TP1,12/31/2014,459.99,7.0,2,452.99,19797.56145,3626.078347,21361.5988,2464.0,12913.84279,9609.834361,1,350.0,4.230769230769231,352.0,352.0,350.0,209,H2,Q3,28511.0,1,1
2015-02-01,1010,6897,zzz,123,TP1,2/28/2015,459.99,30.0,2,424.99,25454.00758,4662.100732,27464.91274,7770.0,16603.51215,7753.501321,1,450.0,4.769230769230769,259.0,259.0,550.0,211,H2,Q4,28647.0,1,1
2015-03-01,1010,6898,zzz,123,TP1,3/31/2015,459.99,30.0,2,424.99,22625.78452,4144.08954,24413.25577,14640.0,14758.67747,-841.3321591,1,400.0,5.3076923076923075,488.0,488.0,400.0,212,H2,Q4,29653.0,1,1
2015-02-01,1010,6897,zzz,123,TP1,2/28/2015,459.99,30.0,2,424.99,0.0,0.0,0.0,0.0,0.0,0.0,2,320.0,5.846153846153846,431.42857142857144,390.4,430.0,211,H2,Q4,30092.0,2,2
2015-02-01,1010,6897,zzz,123,TP1,2/28/2015,459.99,30.0,2,424.99,0.0,0.0,0.0,0.0,0.0,0.0,2,240.0,6.384615384615384,374.8571428571429,292.8,460.0,211,H2,Q4,30137.0,2,2
2015-03-01,1010,6898,zzz,123,TP1,3/31/2015,459.99,30.0,2,424.99,0.0,0.0,0.0,0.0,0.0,0.0,2,160.0,6.9230769230769225,318.2857142857143,195.20000000000005,490.0,212,H2,Q4,30181.0,2,2
2015-03-01,1010,6898,zzz,123,TP1,3/31/2015,459.99,30.0,2,424.99,0.0,0.0,0.0,0.0,0.0,0.0,2,80.0,7.461538461538462,261.7142857142857,97.60000000000002,520.0,212,H2,Q4,30216.0,2,2
2014-12-01,1010,6894,zzz,123,TP1,12/31/2014,459.99,7.0,2,452.99,0.0,0.0,0.0,0.0,0.0,0.0,2,50.0,8.538461538461538,148.57142857142856,46.0,325.0,209,H2,Q3,30757.0,2,2
2014-11-01,1010,7376,zzz,123,TP1,11/30/2014,459.99,30.0,2,429.99,5656.44613,1036.022385,6103.313943,2760.0,3689.669367,689.6669602,1,100.0,9.076923076923077,92.0,92.0,100.0,208,H2,Q3,30793.0,1,1
2014-11-01,1010,7376,zzz,123,TP1,11/30/2014,459.99,30.0,2,429.99,5656.44613,1036.022385,6103.313943,4170.0,3689.669367,-720.3330398,1,100.0,9.615384615384615,139.0,139.0,100.0,208,H2,Q3,30794.0,1,1
2015-01-01,1010,6895,zzz,123,TP1,1/31/2015,459.99,30.0,1,429.99,0.0,0.0,0.0,0.0,0.0,0.0,2,175.0,10.153846153846153,226.25,226.25,175.0,210,H2,Q1,30890.0,2,2
2015-02-01,1010,6897,zzz,123,TP1,2/28/2015,459.99,30.0,2,424.99,0.0,0.0,0.0,0.0,0.0,0.0,2,250.0,10.692307692307692,313.5,313.5,250.0,211,H2,Q4,31376.0,2,2
2015-02-01,1010,6897,zzz,123,TP1,2/28/2015,459.99,30.0,2,424.99,0.0,0.0,0.0,0.0,0.0,0.0,2,325.0,11.23076923076923,400.75,400.75,325.0,211,H2,Q4,31385.0,2,2
2015-03-01,1010,7613,zzz,123,TP1,3/31/2015,459.99,5.0,2,424.99,0.0,0.0,0.0,2440.0,0.0,-2440.0,1,400.0,11.769230769230768,488.0,488.0,400.0,212,H2,Q4,31446.0,1,1
2015-02-01,1010,7532,zzz,123,TP1,2/28/2015,459.99,5.0,2,424.99,0.0,0.0,0.0,250.0,0.0,-250.0,1,50.0,12.307692307692307,286.0,50.0,50.0,211,H2,Q4,31447.0,1,1
2015-02-01,1010,6897,zzz,123,TP1,2/28/2015,459.99,30.0,2,424.99,2828.223065,518.0111924,3051.656971,2520.0,1844.834684,-795.1665199,1,50.0,12.846153846153845,84.0,84.0,50.0,211,H2,Q4,31448.0,1,1
2015-03-01,1010,6898,zzz,123,TP1,3/31/2015,459.99,30.0,2,424.99,0.0,0.0,0.0,0.0,0.0,0.0,2,35.0,13.384615384615383,88.75,57.66666666666667,35.0,212,H2,Q4,31491.0,2,2
2015-03-01,1010,6898,zzz,123,TP1,3/31/2015,459.99,30.0,2,424.99,0.0,0.0,0.0,0.0,0.0,0.0,2,20.0,13.923076923076923,93.5,31.333333333333336,20.0,212,H2,Q4,31519.0,2,2
2015-04-01,1080,8122,zzz,123,TP1,4/30/2015,459.99,30.0,2,424.99,282.8223065,51.80111924,305.1656971,150.0,79.06434358,127.9024728,3,5.0,14.461538461538462,98.25,5.0,5.0,201,H1,Q1,32226.0,3,3
2015-04-01,1010,8122,zzz,123,TP1,4/30/2015,459.99,30.0,2,424.99,4525.156904,828.8179079,4882.651154,3090.0,2108.382496,513.0865664,2,80.0,15.0,103.0,103.0,80.0,201,H1,Q1,32227.0,2,2
2015-04-01,1080,8123,zzz,123,TP1,4/30/2015,459.99,5.0,2,424.99,0.0,0.0,0.0,25.0,0.0,-25.0,3,5.0,26.333333333333336,87.66666666666667,5.0,5.0,201,H1,Q1,32229.0,3,3
2015-04-01,1010,8123,zzz,123,TP1,4/30/2015,459.99,5.0,2,424.99,0.0,0.0,0.0,125.0,0.0,-125.0,2,25.0,32.0,80.0,25.0,25.0,201,H1,Q1,32230.0,2,2
2015-05-01,1080,8124,zzz,123,TP1,5/31/2015,79.99,30.0,2,39.99,282.8223065,51.80111924,305.1656971,150.0,79.06434358,127.9024728,3,5.0,43.333333333333336,64.66666666666666,5.0,5.0,202,H1,Q1,32232.0,3,3
2015-05-01,1010,8124,zzz,123,TP1,5/31/2015,79.99,30.0,2,39.99,2375.707375,435.1294017,2563.391856,1710.0,1106.90081,181.6204474,2,42.0,49.0,57.0,57.0,42.0,202,H1,Q1,32233.0,2,2
2015-05-01,1080,8125,zzz,123,TP1,5/31/2015,79.99,10.0,2,39.99,0.0,0.0,0.0,50.0,0.0,-50.0,3,5.0,67.0,71.66666666666667,5.0,5.0,202,H1,Q1,32235.0,3,3
2015-05-01,1010,8125,zzz,123,TP1,5/31/2015,79.99,10.0,2,39.99,0.0,0.0,0.0,140.0,0.0,-140.0,2,14.0,76.0,79.0,14.0,14.0,202,H1,Q1,32236.0,2,2
