Promotion::Start Date Promo,Account Factors::Profit Center,Promo ID,Pricing::Segment,Pricing::Engine,Promotion::SKU,Promotion::End Date Promo,Pricing::Street,Promotion::Promo_Value,Promotion::Promo Type,Promotion::Promo_Net Price Point,Exp_Revenue Est,Exp_Billing Profit,Exp_Billing Profit Supply,Exp_Promo,Exp_Sales,Exp_Net Billing Profit,Account,Sell Through Estimate Adj,Sell Through Estimate POS,Sell Through Estimate Inv,Final Quantity,Sell Through Estimate,SOP_Period,SOP_Half,SOP_Quarter,Usage ID,Account Factors::SAP Account,Promotion::LevelType
2014-12-01,1010,6894,zzz,123,TP1,12/31/2014,459.99,7.0,2,452.99,9050.313808,1657.635816,9765.302308,434.0,4216.764991,6772.173133,2,160.0,371.0,62.0,62.0,160.0,209,H2,Q3,23747.0,2,2
2014-12-01,1010,6894,zzz,123,TP1,12/31/2014,459.99,7.0,2,452.99,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,276.0,182.33333333333331,0.0,0.0,209,H2,Q3,23749.0,1,1
2015-01-01,1080,6895,zzz,123,TP1,1/31/2015,459.99,30.0,1,429.99,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,181.0,302.66666666666663,0.0,0.0,210,H2,Q1,23750.0,3,3
2015-01-01,1010,6895,zzz,123,TP1,1/31/2015,459.99,30.0,1,429.99,9050.313808,1657.635816,9765.302308,12690.0,4216.764991,-5483.826867,2,160.0,86.0,423.0,423.0,160.0,210,H2,Q1,23751.0,2,2
2015-01-01,1010,6895,zzz,123,TP1,1/31/2015,459.99,30.0,1,429.99,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,69.5,390.0,0.0,0.0,210,H2,Q1,23752.0,1,1
2015-01-01,1080,6896,zzz,123,TP1,1/31/2015,459.99,5.0,2,424.99,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,53.0,357.0,0.0,0.0,210,H2,Q1,23753.0,3,3
2015-02-01,1080,6897,zzz,123,TP1,2/28/2015,459.99,30.0,2,424.99,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,36.5,324.0,0.0,0.0,211,H2,Q4,23754.0,3,3
2015-01-01,1010,6896,zzz,123,TP1,1/31/2015,459.99,5.0,2,424.99,0.0,0.0,0.0,100.0,0.0,-100.0,2,80.0,20.0,291.0,20.0,80.0,210,H2,Q1,23755.0,2,2
2015-02-01,1010,6897,zzz,123,TP1,2/28/2015,459.99,30.0,2,424.99,9050.313808,1657.635816,9765.302308,7740.0,4216.764991,-533.8268672,2,160.0,170.0,258.0,258.0,160.0,211,H2,Q4,23756.0,2,2
2015-01-01,1010,6896,zzz,123,TP1,1/31/2015,459.99,5.0,2,424.99,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,145.85714285714286,227.75,0.0,0.0,210,H2,Q1,23757.0,1,1
